ori_word,clean_word,cat_ids
center*,center,"[252, 250]"
centre*,centre,"[252, 250]"
cents,cents,[358]
centur*,centur,"[253, 250]"
ceo*,ceo,[354]
certain*,certain,"[125, 126, 131, 136]"
certif*,certif,[354]
cetera,cetera,"[1, 20]"
chairm*,chairm,[354]
chalk,chalk,[354]
challeng*,challeng,"[125, 126, 354, 355]"
champ*,champ,"[125, 126, 354, 355]"
chance,chance,"[131, 135]"
change,change,"[250, 251, 131, 133]"
changed,changed,"[11, 13, 250, 251, 131, 133]"
changes,changes,"[250, 251, 131, 133]"
changing,changing,"[250, 251, 131, 133]"
channel*,channel,[356]
chapel*,chapel,[359]
chaplain*,chaplain,[359]
charit*,charit,"[125, 126, 358]"
charm*,charm,"[125, 126]"
chat*,chat,"[121, 356]"
cheap*,cheap,[358]
cheat*,cheat,"[125, 127, 129]"
check,check,[358]
checkers,checkers,[356]
checking,checking,[358]
checks,checks,[358]
checkup*,checkup,"[146, 148]"
cheek*,cheek,"[146, 147]"
cheer*,cheer,"[125, 126]"
chequ*,chequ,[358]
cherish*,cherish,"[125, 126]"
chess,chess,[356]
chest*,chest,"[146, 147]"
chew*,chew,"[146, 150]"
chick,chick,"[121, 124]"
chick'*,chick',"[121, 124]"
child,child,"[121, 124]"
childhood,childhood,"[250, 253]"
children*,children,"[121, 124]"
child's,child's,"[121, 124]"
chillin*,chillin,[356]
chills,chills,"[146, 148]"
chiropract*,chiropract,"[146, 148]"
chlamydia,chlamydia,"[146, 148, 149]"
chocolate*,chocolate,[140]
choice*,choice,"[131, 132]"
choir*,choir,"[356, 140, 142]"
chok*,chok,"[146, 148]"
cholester*,cholester,"[146, 148]"
choos*,choos,"[131, 132]"
chore*,chore,[357]
chorus,chorus,[356]
chow*,chow,"[146, 150]"
christ,christ,[359]
christian*,christian,[359]
christmas*,christmas,"[250, 253, 359]"
chronic*,chronic,"[146, 148]"
chuckl*,chuckl,"[125, 126]"
church*,church,[359]
cigar*,cigar,"[146, 150]"
cinema*,cinema,[356]
circle,circle,"[140, 141]"
citizen,citizen,"[121, 124]"
citizen'*,citizen',"[121, 124]"
citizens,citizens,"[121, 124]"
citrus*,citrus,[140]
city,city,"[250, 252]"
clarif*,clarif,"[131, 132]"
class,class,[354]
classes,classes,[354]
classmate*,classmate,[354]
classroom*,classroom,[354]
clean*,clean,[357]
clear,clear,"[131, 136]"
clearly,clearly,"[1, 16, 131, 136]"
clergy,clergy,[359]
clever*,clever,"[125, 126]"
click*,click,"[140, 141]"
climb*,climb,"[251, 250, 355]"
clinic*,clinic,"[146, 148]"
clock*,clock,"[253, 250]"
close,close,"[131, 138, 252, 250]"
closed,closed,"[252, 250]"
closely,closely,"[251, 250]"
closer,closer,"[252, 250]"
closes,closes,"[251, 250]"
closest,closest,"[252, 250]"
closet,closet,[357]
closets,closets,[357]
closing,closing,"[251, 250]"
closure,closure,"[131, 132, 355]"
clothes,clothes,"[146, 147]"
club*,club,[356]
coach*,coach,[356]
cock,cock,"[146, 147, 149, 22]"
cocks*,cocks,"[146, 147, 149, 22]"
cocktail*,cocktail,"[150, 356]"
codeine,codeine,"[146, 148]"
coffee*,coffee,"[146, 150, 356]"
coffin*,coffin,[360]
cohere*,cohere,"[131, 132]"
coin,coin,[358]
coins,coins,[358]
coke*,coke,"[146, 150]"
cold*,cold,"[140, 143]"
collab*,collab,[354]
colleague*,colleague,"[121, 123, 354]"
colleg*,colleg,[354]
